station,rain_now_pct,rain_last_hour_pct,rain_both_pct,temp_plus5C_vs_mean_pct,school_holiday_weekend_pct,school_holiday_weekday_pct
S+U Hermannstr. (Berlin),13.76,3.11,17.29,-7.15,4.73,-1.3
U Blaschkoallee (Berlin),23.64,-4.37,18.24,-6.76,-0.45,-3.36
U Grenzallee (Berlin),15.57,-0.8,14.64,-9.54,-0.07,-2.72
U Parchimer Allee (Berlin),10.08,9.67,20.72,-3.37,9.51,-3.08
U Britz-Süd (Berlin),2.47,12.95,15.74,-7.2,-2.44,9.26
U Lipschitzallee (Berlin),27.14,2.32,30.09,-7.33,0.38,-3.76
U Johannisthaler Chaussee (Berlin),14.69,-3.45,10.73,-11.64,2.39,2.65
U Zwickauer Damm (Berlin),13.41,8.85,23.45,-5.48,-1.38,0.84
U Wutzkyallee (Berlin),1.36,7.55,9.01,-11.16,-2.04,2.37
U Rudow (Berlin),29.05,-8.03,18.69,-10.06,5.12,0.51
U Paracelsus-Bad (Berlin),41.35,-11.82,24.64,-8.94,2.13,-1.32
U Franz-Neumann-Platz (Berlin),11.15,-0.04,11.11,-7.02,2.61,4.67
U Residenzstr. (Berlin),22.34,-8.32,12.16,-8.79,-0.96,-0.52
U Kurt-Schumacher-Platz (Berlin),11.54,12.56,25.56,-6.44,4.54,-7.1
U Lindauer Allee (Berlin),10.96,4.71,16.19,-4.84,-13.5,-9.23
S+U Wittenau (Berlin),27.73,-8.15,17.33,-5.95,-1.2,-3.37
U Rathaus Reinickendorf (Berlin),11.97,4.95,17.51,-8.53,-0.41,-6.8
S+U Karl-Bonhoeffer-Nervenklinik (Berlin),21.96,-2.96,18.36,-7.21,-4.76,-1.37
S+U Friedrichstr. Bhf (Berlin),35.46,-10.13,21.73,-9.43,3.41,4.16
S+U Alexanderplatz Bhf (Berlin),4.69,12.71,17.99,-3.82,-2.91,3.71
S+U Jannowitzbrücke (Berlin),-0.97,-1.93,-2.89,-7.75,-0.81,3.4
U Heinrich-Heine-Str. (Berlin),12.56,3.67,16.69,-8.36,-0.85,2.32
U Naturkundemuseum (Berlin),16.6,6.05,23.65,-8.15,8.71,0.89
U Anton-Wilhelm-Amo-Str. (Berlin),12.35,8.74,22.17,-6.69,-0.29,-1.5
U Stadtmitte (Berlin),17.67,-0.04,17.62,-6.17,2.22,-1.22
U Hausvogteiplatz (Berlin),10.85,14.5,26.92,-6.53,-18.06,1.82
U Spittelmarkt (Berlin),6.51,0.55,7.09,-6.39,1.52,-0.37
U Märkisches Museum (Berlin),8.68,7.25,16.56,-6.69,-0.17,2.97
U Klosterstr. (Berlin),8.13,6.31,14.95,-6.48,-2.39,-1.12
U Rosa-Luxemburg-Platz (Berlin),16.14,-1.0,14.97,-5.15,-4.27,-2.21
U Schillingstr. (Berlin),3.98,2.05,6.11,-9.6,-0.09,1.79
U Oranienburger Tor (Berlin),3.48,5.48,9.15,-7.34,-5.96,-3.2
S+U Potsdamer Platz Bhf (Berlin),3.63,10.76,14.78,-1.81,-2.46,1.39
U Rosenthaler Platz (Berlin),15.96,6.21,23.16,-5.36,0.18,1.25
S+U Brandenburger Tor (Berlin),15.54,4.56,20.81,-7.28,-0.98,-0.01
U Rotes Rathaus (Berlin),10.58,9.52,21.1,-7.37,-1.46,2.65
U Weinmeisterstr. (Berlin),15.6,4.87,21.23,-7.05,7.22,-4.81
U Schwartzkopffstr. (Berlin),10.64,1.52,12.32,-5.28,6.17,0.41
U Unter den Linden (Berlin),2.03,3.98,6.09,-9.66,13.74,7.68
U Museumsinsel (Berlin),8.66,5.68,14.83,-3.47,8.27,-0.21
S+U Schönhauser Allee (Berlin),16.11,-5.17,10.1,-8.45,1.35,-1.85
U Senefelderplatz (Berlin),13.25,3.22,16.89,-6.77,-4.54,-5.7
U Eberswalder Str. (Berlin),8.78,-0.4,8.35,-6.17,2.04,-6.89
S+U Frankfurter Allee (Berlin),-1.63,10.35,8.55,-12.27,9.92,2.62
S+U Warschauer Str. (Berlin),18.22,-6.77,10.22,-8.08,-8.99,-4.52
U Strausberger Platz (Berlin),11.13,-1.5,9.47,-12.52,2.33,-2.13
U Frankfurter Tor (Berlin),1.97,1.21,3.21,-12.43,-5.43,3.13
U Samariterstr. (Berlin),20.41,2.34,23.23,-8.24,-5.63,-0.12
U Weberwiese (Berlin),19.85,-3.9,15.17,-9.78,1.5,5.61
S+U Pankow (Berlin),9.29,7.11,17.06,-6.96,1.48,-2.41
U Vinetastr. (Berlin),10.93,-0.21,10.7,-9.98,-7.42,2.91
S+U Lichtenberg Bhf (Berlin),9.07,5.62,15.19,-8.38,0.67,2.72
U Magdalenenstr. (Berlin),8.73,6.76,16.08,-10.17,3.53,-3.38
U Tierpark (Berlin),11.89,-3.58,7.89,-5.47,10.95,6.73
U Friedrichsfelde (Berlin),21.2,-2.14,18.61,-7.22,5.73,-4.71
U Biesdorf-Süd (Berlin),9.14,7.92,17.79,-4.92,11.0,-2.23
U Elsterwerdaer Platz (Berlin),15.54,8.35,25.18,-4.67,1.95,-6.61
S+U Wuhletal (Berlin),7.33,6.49,14.3,-5.65,-7.44,4.09
U Kaulsdorf-Nord (Berlin),9.46,-0.28,9.15,-7.56,5.56,-0.14
U Kienberg (Gärten der Welt) (Berlin),14.12,-0.64,13.4,-4.99,-5.59,-4.15
U Cottbusser Platz (Berlin),0.47,12.71,13.24,-11.64,7.14,6.64
U Hellersdorf (Berlin),15.9,2.56,18.87,-8.93,11.84,0.11
U Hönow (Berlin),7.96,4.9,13.25,-8.48,-6.65,2.29
U Louis-Lewin-Str. (Berlin),12.07,4.99,17.66,-7.67,1.27,2.61
